note_id,subsystem,concern,expected_behaviour,confidence,action,urgency
NOTE_0001,EPS,,Yes,High,,Nominal
NOTE_0002,System,,Yes,High,,Nominal
NOTE_0003,System,,Yes,High,,Nominal
NOTE_0004,EPS,,Yes,High,,Nominal
NOTE_0005,TT&C,,Yes,High,,Nominal
NOTE_0006,TT&C,,Yes,High,,Nominal
NOTE_0007,EPS,,Yes,High,,Nominal
NOTE_0008,System,,Yes,High,,Nominal
NOTE_0009,System,,Yes,High,,Nominal
NOTE_0010,EPS,,Yes,High,,Nominal
NOTE_0011,TT&C,,Yes,High,,Nominal
NOTE_0012,TT&C,,Yes,High,,Nominal
NOTE_0013,EPS,,Yes,High,,Nominal
NOTE_0014,System,,Yes,High,,Nominal
NOTE_0015,System,,Yes,High,,Nominal
NOTE_0016,EPS,,Yes,High,,Nominal
NOTE_0017,TT&C,,Yes,High,,Nominal
NOTE_0018,TT&C,,Yes,High,,Nominal
NOTE_0019,EPS,,Yes,High,,Nominal
NOTE_0020,System,,Yes,High,,Nominal
NOTE_0021,System,,Yes,High,,Nominal
NOTE_0022,EPS,,Yes,High,,Nominal
NOTE_0023,TT&C,,Yes,High,,Nominal
NOTE_0024,TT&C,,Yes,High,,Nominal
NOTE_0025,EPS,,Yes,High,,Nominal
NOTE_0026,System,,Yes,High,,Nominal
NOTE_0027,System,,Yes,High,,Nominal
NOTE_0028,EPS,,Yes,High,,Nominal
NOTE_0029,TT&C,,Yes,High,,Nominal
NOTE_0030,TT&C,,Yes,High,,Nominal
NOTE_0031,EPS,,Yes,High,,Nominal
NOTE_0032,System,,Yes,High,,Nominal
NOTE_0033,System,,Yes,High,,Nominal
NOTE_0034,EPS,,Yes,High,,Nominal
NOTE_0035,TT&C,,Yes,High,,Nominal
NOTE_0036,TT&C,,Yes,High,,Nominal
NOTE_0037,EPS,,Yes,High,,Nominal
NOTE_0038,System,,Yes,High,,Nominal
NOTE_0039,System,,Yes,High,,Nominal
NOTE_0040,EPS,,Yes,High,,Nominal
NOTE_0041,TT&C,,Yes,High,,Nominal
NOTE_0042,TT&C,,Yes,High,,Nominal
NOTE_0043,EPS,,Yes,High,,Nominal
NOTE_0044,System,,Yes,High,,Nominal
NOTE_0045,System,,Yes,High,,Nominal
NOTE_0046,EPS,,Yes,High,,Nominal
NOTE_0047,TT&C,,Yes,High,,Nominal
NOTE_0048,TT&C,,Yes,High,,Nominal
NOTE_0049,EPS,,Yes,High,,Nominal
NOTE_0050,System,,Yes,High,,Nominal
NOTE_0051,System,,Yes,High,,Nominal
NOTE_0052,EPS,,Yes,High,,Nominal
NOTE_0053,TT&C,,Yes,High,,Nominal
NOTE_0054,TT&C,,Yes,High,,Nominal
NOTE_0055,EPS,,Yes,High,,Nominal
NOTE_0056,System,,Yes,High,,Nominal
NOTE_0057,System,,Yes,High,,Nominal
NOTE_0058,EPS,,Yes,High,,Nominal
NOTE_0059,TT&C,,Yes,High,,Nominal
NOTE_0060,TT&C,,Yes,High,,Nominal
NOTE_0061,EPS,,Yes,High,,Nominal
NOTE_0062,System,,Yes,High,,Nominal
NOTE_0063,System,,Yes,High,,Nominal
NOTE_0064,EPS,,Yes,High,,Nominal
NOTE_0065,TT&C,,Yes,High,,Nominal
NOTE_0066,TT&C,,Yes,High,,Nominal
NOTE_0067,EPS,,Yes,High,,Nominal
NOTE_0068,System,,Yes,High,,Nominal
NOTE_0069,System,,Yes,High,,Nominal
NOTE_0070,EPS,,Yes,High,,Nominal
NOTE_0071,TT&C,,Yes,High,,Nominal
NOTE_0072,TT&C,,Yes,High,,Nominal
NOTE_0073,EPS,,Yes,High,,Nominal
NOTE_0074,System,,Yes,High,,Nominal
NOTE_0075,System,,Yes,High,,Nominal
NOTE_0076,EPS,,Yes,High,,Nominal
NOTE_0077,TT&C,,Yes,High,,Nominal
NOTE_0078,TT&C,,Yes,High,,Nominal
NOTE_0079,EPS,,Yes,High,,Nominal
