mission_id,timestamp,orbit_number,type,id,description
M01,2026-07-01T00:00:00Z,1,EVENT,orbit_start,Start of Orbit 1
M01,2026-07-01T00:20:00Z,1,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T00:35:00Z,1,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T01:03:00Z,1,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T01:10:00Z,1,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T01:20:00Z,1,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T01:39:00Z,2,EVENT,orbit_start,Start of Orbit 2
M01,2026-07-01T01:59:00Z,2,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T02:14:00Z,2,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T02:42:00Z,2,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T02:49:00Z,2,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T02:59:00Z,2,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T03:18:00Z,3,EVENT,orbit_start,Start of Orbit 3
M01,2026-07-01T03:38:00Z,3,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T03:53:00Z,3,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T04:21:00Z,3,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T04:28:00Z,3,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T04:38:00Z,3,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T04:57:00Z,4,EVENT,orbit_start,Start of Orbit 4
M01,2026-07-01T05:17:00Z,4,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T05:32:00Z,4,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T06:00:00Z,4,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T06:07:00Z,4,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T06:17:00Z,4,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T06:36:00Z,5,EVENT,orbit_start,Start of Orbit 5
M01,2026-07-01T06:56:00Z,5,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T07:11:00Z,5,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T07:39:00Z,5,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T07:46:00Z,5,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T07:56:00Z,5,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T08:15:00Z,6,EVENT,orbit_start,Start of Orbit 6
M01,2026-07-01T08:35:00Z,6,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T08:50:00Z,6,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T09:18:00Z,6,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T09:25:00Z,6,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T09:35:00Z,6,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T09:54:00Z,7,EVENT,orbit_start,Start of Orbit 7
M01,2026-07-01T10:14:00Z,7,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T10:29:00Z,7,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T10:57:00Z,7,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T11:04:00Z,7,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T11:14:00Z,7,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T11:33:00Z,8,EVENT,orbit_start,Start of Orbit 8
M01,2026-07-01T11:53:00Z,8,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T12:08:00Z,8,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T12:36:00Z,8,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T12:43:00Z,8,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T12:53:00Z,8,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T13:12:00Z,9,EVENT,orbit_start,Start of Orbit 9
M01,2026-07-01T13:32:00Z,9,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T13:47:00Z,9,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T14:15:00Z,9,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T14:22:00Z,9,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T14:32:00Z,9,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T14:51:00Z,10,EVENT,orbit_start,Start of Orbit 10
M01,2026-07-01T15:11:00Z,10,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T15:26:00Z,10,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T15:54:00Z,10,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T16:01:00Z,10,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T16:11:00Z,10,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T16:30:00Z,11,EVENT,orbit_start,Start of Orbit 11
M01,2026-07-01T16:50:00Z,11,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T17:05:00Z,11,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T17:33:00Z,11,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T17:40:00Z,11,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T17:50:00Z,11,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T18:09:00Z,12,EVENT,orbit_start,Start of Orbit 12
M01,2026-07-01T18:29:00Z,12,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T18:44:00Z,12,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T19:12:00Z,12,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T19:19:00Z,12,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T19:29:00Z,12,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T19:48:00Z,13,EVENT,orbit_start,Start of Orbit 13
M01,2026-07-01T20:08:00Z,13,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T20:23:00Z,13,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T20:51:00Z,13,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T20:58:00Z,13,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T21:08:00Z,13,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T21:27:00Z,14,EVENT,orbit_start,Start of Orbit 14
M01,2026-07-01T21:47:00Z,14,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T22:02:00Z,14,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-01T22:30:00Z,14,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-01T22:37:00Z,14,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-01T22:47:00Z,14,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-01T23:06:00Z,15,EVENT,orbit_start,Start of Orbit 15
M01,2026-07-01T23:26:00Z,15,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-01T23:41:00Z,15,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T00:09:00Z,15,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T00:16:00Z,15,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T00:26:00Z,15,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T00:45:00Z,16,EVENT,orbit_start,Start of Orbit 16
M01,2026-07-02T01:05:00Z,16,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T01:20:00Z,16,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T01:48:00Z,16,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T01:55:00Z,16,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T02:05:00Z,16,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T02:24:00Z,17,EVENT,orbit_start,Start of Orbit 17
M01,2026-07-02T02:44:00Z,17,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T02:59:00Z,17,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T03:27:00Z,17,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T03:34:00Z,17,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T03:44:00Z,17,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T04:03:00Z,18,EVENT,orbit_start,Start of Orbit 18
M01,2026-07-02T04:23:00Z,18,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T04:38:00Z,18,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T05:06:00Z,18,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T05:13:00Z,18,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T05:23:00Z,18,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T05:42:00Z,19,EVENT,orbit_start,Start of Orbit 19
M01,2026-07-02T06:02:00Z,19,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T06:17:00Z,19,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T06:45:00Z,19,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T06:52:00Z,19,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T07:02:00Z,19,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T07:21:00Z,20,EVENT,orbit_start,Start of Orbit 20
M01,2026-07-02T07:41:00Z,20,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T07:56:00Z,20,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T08:24:00Z,20,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T08:31:00Z,20,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T08:41:00Z,20,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T09:00:00Z,21,EVENT,orbit_start,Start of Orbit 21
M01,2026-07-02T09:20:00Z,21,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T09:35:00Z,21,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T10:03:00Z,21,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T10:10:00Z,21,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T10:20:00Z,21,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T10:39:00Z,22,EVENT,orbit_start,Start of Orbit 22
M01,2026-07-02T10:59:00Z,22,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T11:14:00Z,22,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T11:42:00Z,22,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T11:49:00Z,22,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T11:59:00Z,22,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T12:18:00Z,23,EVENT,orbit_start,Start of Orbit 23
M01,2026-07-02T12:38:00Z,23,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T12:53:00Z,23,EVENT,payload_idle,Scientific Payload idle: observation complete
M01,2026-07-02T13:21:00Z,23,EVENT,eclipse_entry,Eclipse entry: solar array output drops to zero
M01,2026-07-02T13:28:00Z,23,EVENT,ground_pass,Ground pass contact established; downlink active
M01,2026-07-02T13:38:00Z,23,EVENT,ground_pass_end,Ground pass complete; S-band transmitter idle
M01,2026-07-02T13:57:00Z,24,EVENT,orbit_start,Start of Orbit 24
M01,2026-07-02T14:17:00Z,24,EVENT,payload_active,Scientific Payload turned ON for observation
M01,2026-07-02T14:32:00Z,24,EVENT,payload_idle,Scientific Payload idle: observation complete
