note_id,mission_id,timestamp,operator_note
NOTE_0001,M01,2026-07-01T00:00:00Z,Orbit 1 start. Sunlit phase. Solar array generating 12.0A at 45.6V. Battery charging at 9.8A (SoC: 85.4%). Expected behaviour.
NOTE_0002,M01,2026-07-01T00:20:00Z,Initiating payload observation sequence. Bus load increased to 7.7A as payload power rails activate. OBC processor load rose to 40.3%. Thermal offsets observed on local sensors.
NOTE_0003,M01,2026-07-01T00:35:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 9.2%. Nominal.
NOTE_0004,M01,2026-07-01T01:03:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.9A (voltage: 33.0V). Thermal cooling observed (temp_structure: 20.4C).
NOTE_0005,M01,2026-07-01T01:10:00Z,Acquired signal lock with ground station. RX signal strength is -70.3 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0006,M01,2026-07-01T01:20:00Z,LOS. Transmitter offline. RSSI -117.9dBm. Nominal.
NOTE_0007,M01,2026-07-01T01:39:00Z,Orbit 2 start. Sunlit phase. Solar array generating 12.0A at 45.5V. Battery charging at 9.8A (SoC: 96.9%). Expected behaviour.
NOTE_0008,M01,2026-07-01T01:59:00Z,Initiating payload observation sequence. Bus load increased to 7.8A as payload power rails activate. OBC processor load rose to 40.1%. Thermal offsets observed on local sensors.
NOTE_0009,M01,2026-07-01T02:14:00Z,Payload OFF. standby mode active. Current 2.3A. cpu 10.4%. Nominal.
NOTE_0010,M01,2026-07-01T02:42:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.8A (voltage: 33.0V). Thermal cooling observed (temp_structure: 18.9C).
NOTE_0011,M01,2026-07-01T02:49:00Z,Acquired signal lock with ground station. RX signal strength is -70.2 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0012,M01,2026-07-01T02:59:00Z,LOS. Transmitter offline. RSSI -118.2dBm. Nominal.
NOTE_0013,M01,2026-07-01T03:18:00Z,Orbit 3 start. Sunlit phase. Solar array generating 12.0A at 45.6V. Battery charging at 9.8A (SoC: 96.8%). Expected behaviour.
NOTE_0014,M01,2026-07-01T03:38:00Z,Initiating payload observation sequence. Bus load increased to 7.7A as payload power rails activate. OBC processor load rose to 39.0%. Thermal offsets observed on local sensors.
NOTE_0015,M01,2026-07-01T03:53:00Z,Payload OFF. standby mode active. Current 2.1A. cpu 8.5%. Nominal.
NOTE_0016,M01,2026-07-01T04:21:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.9A (voltage: 33.0V). Thermal cooling observed (temp_structure: 18.0C).
NOTE_0017,M01,2026-07-01T04:28:00Z,Acquired signal lock with ground station. RX signal strength is -71.2 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0018,M01,2026-07-01T04:38:00Z,LOS. Transmitter offline. RSSI -118.0dBm. Nominal.
NOTE_0019,M01,2026-07-01T04:57:00Z,Orbit 4 start. Sunlit phase. Solar array generating 12.0A at 45.6V. Battery charging at 9.8A (SoC: 96.8%). Expected behaviour.
NOTE_0020,M01,2026-07-01T05:17:00Z,Initiating payload observation sequence. Bus load increased to 7.7A as payload power rails activate. OBC processor load rose to 38.8%. Thermal offsets observed on local sensors.
NOTE_0021,M01,2026-07-01T05:32:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 9.9%. Nominal.
NOTE_0022,M01,2026-07-01T06:00:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 11.9A. Battery discharging at 9.8A (voltage: 33.0V). Thermal cooling observed (temp_structure: 16.6C).
NOTE_0023,M01,2026-07-01T06:07:00Z,Acquired signal lock with ground station. RX signal strength is -70.3 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0024,M01,2026-07-01T06:17:00Z,LOS. Transmitter offline. RSSI -117.5dBm. Nominal.
NOTE_0025,M01,2026-07-01T06:36:00Z,Orbit 5 start. Sunlit phase. Solar array generating 12.0A at 45.5V. Battery charging at 9.9A (SoC: 96.9%). Expected behaviour.
NOTE_0026,M01,2026-07-01T06:56:00Z,Initiating payload observation sequence. Bus load increased to 7.7A as payload power rails activate. OBC processor load rose to 39.9%. Thermal offsets observed on local sensors.
NOTE_0027,M01,2026-07-01T07:11:00Z,Payload OFF. standby mode active. Current 2.1A. cpu 9.6%. Nominal.
NOTE_0028,M01,2026-07-01T07:39:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.9A (voltage: 33.0V). Thermal cooling observed (temp_structure: 15.5C).
NOTE_0029,M01,2026-07-01T07:46:00Z,Acquired signal lock with ground station. RX signal strength is -70.1 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0030,M01,2026-07-01T07:56:00Z,LOS. Transmitter offline. RSSI -118.3dBm. Nominal.
NOTE_0031,M01,2026-07-01T08:15:00Z,Orbit 6 start. Sunlit phase. Solar array generating 12.0A at 45.5V. Battery charging at 9.8A (SoC: 96.9%). Expected behaviour.
NOTE_0032,M01,2026-07-01T08:35:00Z,Initiating payload observation sequence. Bus load increased to 7.7A as payload power rails activate. OBC processor load rose to 38.6%. Thermal offsets observed on local sensors.
NOTE_0033,M01,2026-07-01T08:50:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 11.8%. Nominal.
NOTE_0034,M01,2026-07-01T09:18:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.8A (voltage: 32.9V). Thermal cooling observed (temp_structure: 15.2C).
NOTE_0035,M01,2026-07-01T09:25:00Z,Acquired signal lock with ground station. RX signal strength is -70.5 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0036,M01,2026-07-01T09:35:00Z,LOS. Transmitter offline. RSSI -117.9dBm. Nominal.
NOTE_0037,M01,2026-07-01T09:54:00Z,Orbit 7 start. Sunlit phase. Solar array generating 12.0A at 45.5V. Battery charging at 9.9A (SoC: 96.9%). Expected behaviour.
NOTE_0038,M01,2026-07-01T10:14:00Z,Initiating payload observation sequence. Bus load increased to 7.6A as payload power rails activate. OBC processor load rose to 40.6%. Thermal offsets observed on local sensors.
NOTE_0039,M01,2026-07-01T10:29:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 9.8%. Nominal.
NOTE_0040,M01,2026-07-01T10:57:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.8A (voltage: 33.1V). Thermal cooling observed (temp_structure: 14.3C).
NOTE_0041,M01,2026-07-01T11:04:00Z,Acquired signal lock with ground station. RX signal strength is -69.0 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0042,M01,2026-07-01T11:14:00Z,LOS. Transmitter offline. RSSI -118.3dBm. Nominal.
NOTE_0043,M01,2026-07-01T11:33:00Z,Orbit 8 start. Sunlit phase. Solar array generating 12.0A at 45.6V. Battery charging at 9.9A (SoC: 96.9%). Expected behaviour.
NOTE_0044,M01,2026-07-01T11:53:00Z,Initiating payload observation sequence. Bus load increased to 7.6A as payload power rails activate. OBC processor load rose to 42.1%. Thermal offsets observed on local sensors.
NOTE_0045,M01,2026-07-01T12:08:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 8.8%. Nominal.
NOTE_0046,M01,2026-07-01T12:36:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.9A (voltage: 33.0V). Thermal cooling observed (temp_structure: 13.7C).
NOTE_0047,M01,2026-07-01T12:43:00Z,Acquired signal lock with ground station. RX signal strength is -68.3 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0048,M01,2026-07-01T12:53:00Z,LOS. Transmitter offline. RSSI -118.3dBm. Nominal.
NOTE_0049,M01,2026-07-01T13:12:00Z,Orbit 9 start. Sunlit phase. Solar array generating 12.0A at 45.5V. Battery charging at 9.8A (SoC: 96.9%). Expected behaviour.
NOTE_0050,M01,2026-07-01T13:32:00Z,Initiating payload observation sequence. Bus load increased to 7.7A as payload power rails activate. OBC processor load rose to 41.7%. Thermal offsets observed on local sensors.
NOTE_0051,M01,2026-07-01T13:47:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 10.4%. Nominal.
NOTE_0052,M01,2026-07-01T14:15:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.9A (voltage: 33.1V). Thermal cooling observed (temp_structure: 13.3C).
NOTE_0053,M01,2026-07-01T14:22:00Z,Acquired signal lock with ground station. RX signal strength is -70.1 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0054,M01,2026-07-01T14:32:00Z,LOS. Transmitter offline. RSSI -117.9dBm. Nominal.
NOTE_0055,M01,2026-07-01T14:51:00Z,Orbit 10 start. Sunlit phase. Solar array generating 12.0A at 45.6V. Battery charging at 9.8A (SoC: 96.9%). Expected behaviour.
NOTE_0056,M01,2026-07-01T15:11:00Z,Initiating payload observation sequence. Bus load increased to 7.6A as payload power rails activate. OBC processor load rose to 41.0%. Thermal offsets observed on local sensors.
NOTE_0057,M01,2026-07-01T15:26:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 10.4%. Nominal.
NOTE_0058,M01,2026-07-01T15:54:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.8A (voltage: 33.0V). Thermal cooling observed (temp_structure: 13.0C).
NOTE_0059,M01,2026-07-01T16:01:00Z,Acquired signal lock with ground station. RX signal strength is -68.9 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0060,M01,2026-07-01T16:11:00Z,LOS. Transmitter offline. RSSI -117.9dBm. Nominal.
NOTE_0061,M01,2026-07-01T16:30:00Z,Orbit 11 start. Sunlit phase. Solar array generating 12.1A at 45.5V. Battery charging at 10.0A (SoC: 96.9%). Expected behaviour.
NOTE_0062,M01,2026-07-01T16:50:00Z,Initiating payload observation sequence. Bus load increased to 7.7A as payload power rails activate. OBC processor load rose to 39.8%. Thermal offsets observed on local sensors.
NOTE_0063,M01,2026-07-01T17:05:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 10.1%. Nominal.
NOTE_0064,M01,2026-07-01T17:33:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.8A (voltage: 33.0V). Thermal cooling observed (temp_structure: 12.3C).
NOTE_0065,M01,2026-07-01T17:40:00Z,Acquired signal lock with ground station. RX signal strength is -71.2 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0066,M01,2026-07-01T17:50:00Z,LOS. Transmitter offline. RSSI -117.9dBm. Nominal.
NOTE_0067,M01,2026-07-01T18:09:00Z,Orbit 12 start. Sunlit phase. Solar array generating 12.0A at 45.4V. Battery charging at 9.8A (SoC: 96.9%). Expected behaviour.
NOTE_0068,M01,2026-07-01T18:29:00Z,Initiating payload observation sequence. Bus load increased to 7.7A as payload power rails activate. OBC processor load rose to 40.2%. Thermal offsets observed on local sensors.
NOTE_0069,M01,2026-07-01T18:44:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 10.1%. Nominal.
NOTE_0070,M01,2026-07-01T19:12:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 11.9A. Battery discharging at 9.9A (voltage: 33.0V). Thermal cooling observed (temp_structure: 11.9C).
NOTE_0071,M01,2026-07-01T19:19:00Z,Acquired signal lock with ground station. RX signal strength is -70.8 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0072,M01,2026-07-01T19:29:00Z,LOS. Transmitter offline. RSSI -118.3dBm. Nominal.
NOTE_0073,M01,2026-07-01T19:48:00Z,Orbit 13 start. Sunlit phase. Solar array generating 12.0A at 45.5V. Battery charging at 9.8A (SoC: 96.9%). Expected behaviour.
NOTE_0074,M01,2026-07-01T20:08:00Z,Initiating payload observation sequence. Bus load increased to 7.6A as payload power rails activate. OBC processor load rose to 39.7%. Thermal offsets observed on local sensors.
NOTE_0075,M01,2026-07-01T20:23:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 10.0%. Nominal.
NOTE_0076,M01,2026-07-01T20:51:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.9A (voltage: 33.0V). Thermal cooling observed (temp_structure: 11.6C).
NOTE_0077,M01,2026-07-01T20:58:00Z,Acquired signal lock with ground station. RX signal strength is -69.6 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0078,M01,2026-07-01T21:08:00Z,LOS. Transmitter offline. RSSI -117.9dBm. Nominal.
NOTE_0079,M01,2026-07-01T21:27:00Z,Orbit 14 start. Sunlit phase. Solar array generating 11.9A at 45.5V. Battery charging at 9.9A (SoC: 96.9%). Expected behaviour.
NOTE_0080,M01,2026-07-01T21:47:00Z,Initiating payload observation sequence. Bus load increased to 7.6A as payload power rails activate. OBC processor load rose to 41.5%. Thermal offsets observed on local sensors.
NOTE_0081,M01,2026-07-01T22:02:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 10.4%. Nominal.
NOTE_0082,M01,2026-07-01T22:30:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.9A (voltage: 33.1V). Thermal cooling observed (temp_structure: 11.3C).
NOTE_0083,M01,2026-07-01T22:37:00Z,Acquired signal lock with ground station. RX signal strength is -69.8 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0084,M01,2026-07-01T22:47:00Z,LOS. Transmitter offline. RSSI -118.2dBm. Nominal.
NOTE_0085,M01,2026-07-01T23:06:00Z,Orbit 15 start. Sunlit phase. Solar array generating 12.0A at 45.6V. Battery charging at 9.8A (SoC: 96.9%). Expected behaviour.
NOTE_0086,M01,2026-07-01T23:26:00Z,Initiating payload observation sequence. Bus load increased to 7.7A as payload power rails activate. OBC processor load rose to 42.3%. Thermal offsets observed on local sensors.
NOTE_0087,M01,2026-07-01T23:41:00Z,Payload OFF. standby mode active. Current 2.3A. cpu 11.3%. Nominal.
NOTE_0088,M01,2026-07-02T00:09:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.8A (voltage: 33.0V). Thermal cooling observed (temp_structure: 11.4C).
NOTE_0089,M01,2026-07-02T00:16:00Z,Acquired signal lock with ground station. RX signal strength is -68.1 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0090,M01,2026-07-02T00:26:00Z,LOS. Transmitter offline. RSSI -117.9dBm. Nominal.
NOTE_0091,M01,2026-07-02T00:45:00Z,Orbit 16 start. Sunlit phase. Solar array generating 12.0A at 45.4V. Battery charging at 9.8A (SoC: 96.9%). Expected behaviour.
NOTE_0092,M01,2026-07-02T01:05:00Z,Initiating payload observation sequence. Bus load increased to 7.6A as payload power rails activate. OBC processor load rose to 40.6%. Thermal offsets observed on local sensors.
NOTE_0093,M01,2026-07-02T01:20:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 10.9%. Nominal.
NOTE_0094,M01,2026-07-02T01:48:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.9A (voltage: 33.1V). Thermal cooling observed (temp_structure: 11.2C).
NOTE_0095,M01,2026-07-02T01:55:00Z,Acquired signal lock with ground station. RX signal strength is -68.8 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0096,M01,2026-07-02T02:05:00Z,LOS. Transmitter offline. RSSI -118.2dBm. Nominal.
NOTE_0097,M01,2026-07-02T02:24:00Z,Orbit 17 start. Sunlit phase. Solar array generating 11.9A at 45.4V. Battery charging at 9.8A (SoC: 96.9%). Expected behaviour.
NOTE_0098,M01,2026-07-02T02:44:00Z,Initiating payload observation sequence. Bus load increased to 7.7A as payload power rails activate. OBC processor load rose to 40.0%. Thermal offsets observed on local sensors.
NOTE_0099,M01,2026-07-02T02:59:00Z,Payload OFF. standby mode active. Current 2.2A. cpu 10.0%. Nominal.
NOTE_0100,M01,2026-07-02T03:27:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.9A (voltage: 33.0V). Thermal cooling observed (temp_structure: 11.1C).
NOTE_0101,M01,2026-07-02T03:34:00Z,Acquired signal lock with ground station. RX signal strength is -69.3 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0102,M01,2026-07-02T03:44:00Z,LOS. Transmitter offline. RSSI -118.1dBm. Nominal.
NOTE_0103,M01,2026-07-02T04:03:00Z,Orbit 18 start. Sunlit phase. Solar array generating 11.9A at 45.4V. Battery charging at 9.7A (SoC: 96.9%). Expected behaviour.
NOTE_0104,M01,2026-07-02T04:23:00Z,Initiating payload observation sequence. Bus load increased to 7.6A as payload power rails activate. OBC processor load rose to 39.9%. Thermal offsets observed on local sensors.
NOTE_0105,M01,2026-07-02T04:38:00Z,Payload OFF. standby mode active. Current 2.1A. cpu 10.6%. Nominal.
NOTE_0106,M01,2026-07-02T05:06:00Z,Eclipse entry. solar_flux drops to 0. Solar array output at 12.0A. Battery discharging at 9.9A (voltage: 33.0V). Thermal cooling observed (temp_structure: 10.7C).
NOTE_0107,M01,2026-07-02T05:13:00Z,Acquired signal lock with ground station. RX signal strength is -71.8 dBm. Link status active. Comm downlink operating at 2048.0 kbps. Watch lock stability.
NOTE_0108,M01,2026-07-02T05:23:00Z,LOS. Transmitter offline. RSSI -118.1dBm. Nominal.
NOTE_0109,M01,2026-07-02T05:42:00Z,Orbit 19 start. Sunlit phase. Solar array generating 12.0A at 45.7V. Battery charging at 9.8A (SoC: 96.9%). Expected behaviour.
NOTE_0110,M01,2026-07-02T06:02:00Z,Initiating payload observation sequence. Bus load increased to 7.6A as payload power rails activate. OBC processor load rose to 38.8%. Thermal offsets observed on local sensors.
